Id,Name,WeekSales,WeekPSales,WeekBudget,WeekPBudget,PrevPeriodSales,PrevPeriodBudget,Date,ExpenseType
295,Direct Operating,551.642,0.03259311,0,0,6068.063,0,11/13/2017 12:00:00 AM,Overhead Expense
296,Administrative,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
297,Advertising and Promotion,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
298,Repairs & Maintenance,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Overhead Expense
299,Occupancy Cost,958.2328,0.05661605,0,0,10540.56,0,11/13/2017 12:00:00 AM,Overhead Expense
300,Owners Draws,0,0,0,0,625,0,11/13/2017 12:00:00 AM,Takeaway
301,Loan Payment,0,0,0,0,1125,0,11/13/2017 12:00:00 AM,Takeaway
302,Loan Tax,0,0,0,0,0,0,11/13/2017 12:00:00 AM,Takeaway
303,Food,3787.481,0.940351,0,0,0,0,12/4/2017 12:00:00 AM,Sales
304,Food,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Cost of Sales
305,Beverage,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Cost of Sales
306,Paper Goods,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Cost of Sales
307,Payroll,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
308,Payroll Taxes,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
309,Benefits & Expenditures,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
310,Credit Card Processing,99.63007,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
311,Direct Operating,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
312,Administrative,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
313,Advertising and Promotion,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
314,Repairs & Maintenance,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
315,Occupancy Cost,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
316,Owners Draws,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
317,Loan Payment,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
318,Loan Tax,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
319,Food,160.17,0.9300314,0,0,13828.42,0,12/11/2017 12:00:00 AM,Sales
320,Other,6.49,0.03768436,0,0,345.3701,0,12/11/2017 12:00:00 AM,Sales
321,Beverage,5.56,0.03228429,0,0,536.5306,0,12/11/2017 12:00:00 AM,Sales
322,Food,0,0,0,0,0,0,12/11/2017 12:00:00 AM,Cost of Sales
323,Beverage,0,0,0,0,0,0,12/11/2017 12:00:00 AM,Cost of Sales
324,Paper Goods,0,0,0,0,0,0,12/11/2017 12:00:00 AM,Cost of Sales
325,Payroll,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
326,Payroll Taxes,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
327,Benefits & Expenditures,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
328,Credit Card Processing,279.2197,0,0,0,93.89001,0,12/4/2017 12:00:00 AM,Overhead Expense
329,Direct Operating,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
330,Administrative,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
331,Advertising and Promotion,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
332,Repairs & Maintenance,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
333,Occupancy Cost,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
334,Owners Draws,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
335,Loan Payment,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
336,Loan Tax,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
337,Food,160.17,0.9300314,0,0,13828.42,0,12/11/2017 12:00:00 AM,Sales
338,Other,6.49,0.03768436,0,0,345.3701,0,12/11/2017 12:00:00 AM,Sales
339,Beverage,5.56,0.03228429,0,0,536.5306,0,12/11/2017 12:00:00 AM,Sales
340,Food,0,0,0,0,0,0,12/11/2017 12:00:00 AM,Cost of Sales
341,Beverage,0,0,0,0,0,0,12/11/2017 12:00:00 AM,Cost of Sales
342,Paper Goods,0,0,0,0,0,0,12/11/2017 12:00:00 AM,Cost of Sales
343,Payroll,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
344,Payroll Taxes,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
345,Benefits & Expenditures,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Payroll
346,Credit Card Processing,279.2197,0,0,0,93.89001,0,12/4/2017 12:00:00 AM,Overhead Expense
347,Direct Operating,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
348,Administrative,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
349,Advertising and Promotion,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
350,Repairs & Maintenance,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
351,Occupancy Cost,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Overhead Expense
352,Owners Draws,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
353,Loan Payment,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
354,Loan Tax,0,0,0,0,0,0,12/4/2017 12:00:00 AM,Takeaway
355,Food,13203.35,0.9667203,0,0,3741.81,0,1/8/2018 4:00:00 AM,Sales
356,Beverage,398.2003,0.02915534,0,0,130.79,0,1/8/2018 4:00:00 AM,Sales
357,Other,56.33,0.004124358,0,0,42.08,0,1/8/2018 4:00:00 AM,Sales
358,Food,1600.1,0.1211889,0,0,0,0,1/8/2018 4:00:00 AM,Cost of Sales
359,Beverage,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Cost of Sales
360,Paper Goods,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Cost of Sales
361,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
362,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
363,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
364,Credit Card Processing,351.0392,0.02330058,0,0,95.72001,0,1/8/2018 4:00:00 AM,Overhead Expense
365,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
366,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
367,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
368,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
369,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
370,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
371,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
372,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
373,Food,3741.81,0.9558405,0,0,0,0,1/1/2018 4:00:00 AM,Sales
374,Beverage,130.79,0.03341014,0,0,0,0,1/1/2018 4:00:00 AM,Sales
375,Other,42.08,0.01074928,0,0,0,0,1/1/2018 4:00:00 AM,Sales
376,Food,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Cost of Sales
377,Beverage,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Cost of Sales
378,Paper Goods,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Cost of Sales
379,Payroll,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Payroll
380,Payroll Taxes,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Payroll
381,Benefits & Expenditures,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Payroll
382,Credit Card Processing,95.72001,0,0,0,0,0,1/1/2018 4:00:00 AM,Overhead Expense
383,Direct Operating,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Overhead Expense
384,Administrative,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Overhead Expense
385,Advertising and Promotion,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Overhead Expense
386,Repairs & Maintenance,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Overhead Expense
387,Occupancy Cost,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Overhead Expense
388,Owners Draws,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Takeaway
389,Loan Payment,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Takeaway
390,Loan Tax,0,0,0,0,0,0,1/1/2018 4:00:00 AM,Takeaway
391,Food,15104.26,0.9555055,0,0,16945.16,0,1/15/2018 4:00:00 AM,Sales
392,Beverage,644.4712,0.04076969,0,0,528.9903,0,1/15/2018 4:00:00 AM,Sales
393,Other,58.87998,0.003724788,0,0,98.41,0,1/15/2018 4:00:00 AM,Sales
394,Food,1575.888,0.104334,0,0,1600.1,0,1/15/2018 4:00:00 AM,Cost of Sales
395,Beverage,0,0,0,0,0,0,1/15/2018 4:00:00 AM,Cost of Sales
396,Paper Goods,658.06,0.04162932,0,0,0,0,1/15/2018 4:00:00 AM,Cost of Sales
397,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
398,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
399,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
400,Credit Card Processing,92.43002,0.02330058,0,0,390.409,0,1/8/2018 4:00:00 AM,Overhead Expense
401,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
402,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
403,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
404,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
405,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
406,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
407,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
408,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
409,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
410,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
411,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
412,Credit Card Processing,129.6401,0.02330058,0,0,482.079,0,1/8/2018 4:00:00 AM,Overhead Expense
413,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
414,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
415,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
416,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
417,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
418,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
419,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
420,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
421,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
422,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
423,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
424,Credit Card Processing,401.9708,0.02330058,0,0,482.079,0,1/8/2018 4:00:00 AM,Overhead Expense
425,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
426,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
427,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
428,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
429,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
430,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
431,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
432,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
433,Food,14312.03,0.9530507,0,0,32049.42,0,1/22/2018 4:00:00 AM,Sales
434,Beverage,599.6304,0.03992992,0,0,1173.461,0,1/22/2018 4:00:00 AM,Sales
435,Other,105.41,0.007019345,0,0,157.29,0,1/22/2018 4:00:00 AM,Sales
436,Food,1556.6,0.1087617,0,0,3175.988,0,1/22/2018 4:00:00 AM,Cost of Sales
437,Beverage,0,0,0,0,0,0,1/22/2018 4:00:00 AM,Cost of Sales
438,Paper Goods,969.64,0.06456919,0,0,658.06,0,1/22/2018 4:00:00 AM,Cost of Sales
439,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
440,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
441,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
442,Credit Card Processing,155.34,0.02330058,0,0,873.849,0,1/8/2018 4:00:00 AM,Overhead Expense
443,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
444,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
445,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
446,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
447,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
448,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
449,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
450,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
451,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
452,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
453,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
454,Credit Card Processing,69.25999,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
455,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
456,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
457,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
458,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
459,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
460,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
461,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
462,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
463,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
464,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
465,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
466,Credit Card Processing,74.53001,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
467,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
468,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
469,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
470,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
471,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
472,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
473,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
474,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
475,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
476,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
477,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
478,Credit Card Processing,74.76001,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
479,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
480,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
481,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
482,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
483,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
484,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
485,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
486,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
487,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
488,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
489,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
490,Credit Card Processing,121.4501,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
491,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
492,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
493,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
494,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
495,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
496,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
497,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
498,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
499,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
500,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
501,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
502,Credit Card Processing,172.5698,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
503,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
504,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
505,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
506,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
507,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
508,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
509,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
510,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
511,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
512,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
513,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
514,Credit Card Processing,367.9007,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
515,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
516,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
517,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
518,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
519,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
520,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
521,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
522,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
523,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
524,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
525,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
526,Credit Card Processing,368.7505,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
527,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
528,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
529,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
530,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
531,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
532,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
533,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
534,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
535,Payroll,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
536,Payroll Taxes,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
537,Benefits & Expenditures,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Payroll
538,Credit Card Processing,384.5707,0.02330058,0,0,959.929,0,1/8/2018 4:00:00 AM,Overhead Expense
539,Direct Operating,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
540,Administrative,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
541,Advertising and Promotion,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
542,Repairs & Maintenance,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
543,Occupancy Cost,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Overhead Expense
544,Owners Draws,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
545,Loan Payment,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
546,Loan Tax,0,0,0,0,0,0,1/8/2018 4:00:00 AM,Takeaway
547,Food,132.74,0.009987409,0,0,0,0,1/29/2018 4:00:00 AM,Cost of Sales
548,Beverage,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Cost of Sales
549,Paper Goods,815.46,0.05891148,0,0,0,0,1/29/2018 4:00:00 AM,Cost of Sales
550,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
551,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
552,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
553,Credit Card Processing,359.1903,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
554,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
555,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
556,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
557,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
558,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
559,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
560,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
561,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
562,Food,13290.73,0.9601657,0,0,0,0,1/29/2018 4:00:00 AM,Sales
563,Beverage,491.6104,0.03551553,0,0,0,0,1/29/2018 4:00:00 AM,Sales
564,Other,59.77998,0.0043187,0,0,0,0,1/29/2018 4:00:00 AM,Sales
565,Food,6039.552,0.9667054,0,0,13290.73,0,2/5/2018 4:00:00 AM,Sales
566,Beverage,177.64,0.02843349,0,0,491.6104,0,2/5/2018 4:00:00 AM,Sales
567,Other,30.37,0.004861096,0,0,59.77998,0,2/5/2018 4:00:00 AM,Sales
568,Food,1776.55,0.2941526,0,0,132.74,0,2/5/2018 4:00:00 AM,Cost of Sales
569,Beverage,0,0,0,0,0,0,2/5/2018 4:00:00 AM,Cost of Sales
570,Paper Goods,528.28,0.08455779,0,0,815.46,0,2/5/2018 4:00:00 AM,Cost of Sales
571,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
572,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
573,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
574,Credit Card Processing,93.87008,0,0,0,348.63,0,1/29/2018 4:00:00 AM,Overhead Expense
575,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
576,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
577,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
578,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
579,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
580,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
581,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
582,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
583,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
584,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
585,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
586,Credit Card Processing,37.28999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
587,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
588,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
589,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
590,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
591,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
592,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
593,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
594,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
595,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
596,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
597,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
598,Credit Card Processing,37.28999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
599,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
